Time,API Key Name,Model,Reasoning Effort,Inbound Endpoint,IP Address,Type,Billing Mode,Input Tokens,Output Tokens,Cache Read Tokens,Cache Creation Tokens,Rate Multiplier,Billed Cost,Original Cost,First Token (ms),Duration (ms)
2026-07-16T19:05:50.738561+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,254401,861,6912,0,0.3,0.3903873,1.301291,53663,69279
2026-07-16T19:05:00.295457+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1506,5146,77568,0,0.3,0.01204164,0.0401388,4906,97303
2026-07-16T19:04:33.688344+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,253398,939,6912,0,0.3,0.3895848,1.298616,38854,56658
2026-07-16T19:04:18.609115+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1158,31,217856,0,0.3,0.0346944,0.115648,8631,9688
2026-07-16T19:03:51.69714+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,2085,69,216832,0,0.3,0.0362733,0.120911,10087,11683
2026-07-16T19:03:30.66197+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1500,425,216832,0,0.3,0.0385998,0.128666,17687,27913
2026-07-16T19:03:18.427651+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,10652,139,67328,0,0.3,0.00546564,0.0182188,4556,6712
2026-07-16T19:03:02.441925+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,3209,765,72448,0,0.3,0.00451314,0.0150438,34948,49799
2026-07-16T19:02:55.453364+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1104,197,216832,0,0.3,0.0359538,0.119846,39349,40645
2026-07-16T19:02:08.987195+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,2546,219,70400,0,0.3,0.00327,0.0109,21441,25650
